연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월
240,7,2738,이수(7),337770,335813,415251,404502,399123,414277,377604,359645,358063,398632,421980
241,7,2739,남성,240707,227965,280702,280560,275950,277974,254750,244061,241872,260327,274928
242,7,2740,숭실대입구,265889,256187,338812,337020,318780,332077,283537,274539,286231,329789,358708
243,7,2741,상도,224604,216330,272260,271844,269727,274564,247742,237940,238860,258992,278080
244,7,2742,장승배기,216301,207896,255231,253100,245080,252208,232396,222211,221815,237192,247869
245,7,2743,신대방삼거리,364015,344521,422761,419853,404251,419094,389582,373165,369827,398793,425658
246,7,2744,보라매,212179,205911,259751,259278,250248,260085,232257,223110,224574,245806,265664
247,7,2745,신풍,260248,252159,310229,308900,302171,312378,286276,270574,271760,298177,312026
248,7,2746,대림(7),185135,186897,221409,219881,227352,231812,210358,205066,208935,225128,231968
249,7,2747,남구로,383089,363194,442759,442353,421214,448371,412805,385229,380136,403556,437557
250,7,2748,가산디지털단지(7),993635,935562,1165409,1155149,1060058,1167393,1058502,966837,945365,1016600,1155563
251,7,2749,철산,486864,477780,588140,588729,574159,591141,535139,509170,513898,548862,591696
252,7,2750,광명사거리,514542,499323,604728,594918,584868,598795,555890,532656,537291,582260,608710
253,7,2751,천왕,233864,227296,288008,288837,277311,291514,263384,247975,253263,274210,291238
254,7,2752,온수(7),214157,204635,268098,265853,250215,263428,231534,216623,220164,246318,267469
255,7,2753,까치울,160046,157226,200268,203822,199182,207345,187530,180618,182535,203453,207793
256,7,2754,부천종합운동장,89725,88545,118740,114151,110026,114151,109078,101420,105835,111641,117255
257,7,2755,춘의,215113,198356,244429,243527,231099,246403,235267,220022,218655,237349,256051
258,7,2756,신중동,312434,307395,381318,377787,367072,384378,353166,329709,330509,364697,388743
259,7,2757,부천시청,276619,272299,335966,331496,328548,344017,321392,304886,304273,333891,349695
260,7,2758,상동,285815,286305,353060,348733,347336,367113,340334,319859,320883,363270,383584
261,7,2759,삼산체육관,94907,95916,122264,126683,123100,133673,119564,115003,116752,128826,135613
262,7,2760,굴포천,207576,203119,248985,246562,243931,259624,240291,227791,225253,248830,263742
263,7,2761,부평구청(7),215473,209877,262438,261412,229164,187631,171360,161381,162261,176965,187655
264,8,2811,암사,387295,372146,456547,450649,437468,450316,416042,401011,392920,429764,450934
265,8,2812,천호(8),404423,397433,479775,465531,461024,464538,425311,404384,401512,450854,473867
266,8,2813,강동구청,249938,236905,288749,280129,270418,282967,259576,247503,243474,263822,286668
267,8,2814,몽촌토성,133510,128109,160487,164035,159619,163965,148038,141768,144797,169728,181681
268,8,2815,잠실(8),360146,366153,443493,427891,435723,442150,394113,378274,378286,439780,472511
269,8,2816,석촌(8),201811,198839,244846,239504,236253,239406,220159,213011,211178,234828,245023
270,8,2817,송파,179985,172103,213487,207126,198446,203494,183920,176400,176532,194145,204850
271,8,2818,가락시장(8),202740,196069,237032,229935,221017,224952,204658,195244,191074,207323,233815
272,8,2819,문정,496195,466729,583617,574028,526578,573015,522909,486891,472474,518807,586096
273,8,2820,장지,395511,367202,454345,438935,425162,438987,408307,385359,380518,425104,450491
274,8,2821,복정(8),204187,196278,264100,261049,247712,258260,229089,215676,219285,249382,270204
275,8,2822,산성,158427,148978,180723,176536,166139,165623,145510,139287,140487,158048,163601
276,8,2823,남한산성입구,287949,270978,337116,343217,327497,339780,296748,285447,287809,325935,342507
277,8,2824,단대오거리,239229,223379,275194,274454,267826,272463,252861,240823,239429,261675,274019
278,8,2825,신흥,119590,111943,132437,131471,130879,130102,124687,118637,115463,123657,126257
279,8,2826,수진,115553,106981,129926,127864,126242,127922,120725,116289,114402,124708,130992
